Bin_ID,Sample,Watermass,Date,Bin_Size(Mbp),16S,ORF_count,Completeness,Contamination,Strain_Heterogeneity,percent_Community,dRep_85_95,Classification
10_bin.1,10,STW,21/04/15,0.997349,x,1064,74.84,3.36,40,2.423301716,136_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__MED-G09;s__MED-G09 sp002704345
10_bin.12,10,STW,21/04/15,1.317361,x,1432,68.06,9.44,12.5,1.565916875,101_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MS024-2A;s__
10_bin.16,10,STW,21/04/15,1.811525,x,1834,81.18,0.85,40,3.08525228,120_2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__HIMB11 sp002457115
10_bin.18,10,STW,21/04/15,2.663607,NODE_274_length_21825_cov_11.250874,2756,96.58,2.14,33.33,1.810063566,9_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__UBA11606;s__
10_bin.20,10,STW,21/04/15,1.980991,x,2054,82.88,1.9,42.86,0.758303153,8_1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes
10_bin.25,10,STW,21/04/15,2.422216,NODE_8159_length_3729_cov_8.007667,2517,75.7,0.82,42.86,1.217609233,129_2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__HIMB11 sp002684375
10_bin.29,10,STW,21/04/15,1.050723,NODE_3004_length_6652_cov_32.205323,1128,53.27,0.73,0,3.2455434,152_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__D2472;s__
10_bin.30,10,STW,21/04/15,1.375762,x,1478,64.04,5.51,22.86,1.614378531,128_2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__
10_bin.34,10,STW,21/04/15,0.953937,NODE_98_length_34256_cov_71.202464,1287,81.07,0,0,8.503805725,50_1,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535
11_bin.10,11,SAW,21/04/15,2.295506,x,2344,68.49,5.76,10.26,1.555927034,125_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__
11_bin.11,11,SAW,21/04/15,1.561065,NODE_329_length_20775_cov_34.440139,1729,89.54,0.27,100,4.155702012,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
11_bin.15,11,SAW,21/04/15,2.814543,x,2847,75.75,5.08,4,1.055200898,124_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__
11_bin.20,11,SAW,21/04/15,1.408574,x,1361,59.69,0,0,1.52057844,41_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__
11_bin.34,11,SAW,21/04/15,3.33808,NODE_6299_length_3952_cov_4.881032,2985,90.95,1.25,33.33,0.888687972,60_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__Arctic95D-9;s__
11_bin.6,11,SAW,21/04/15,3.625971,x,3109,92.72,0.96,75,1.328537402,62_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__
11_bin.7,11,SAW,21/04/15,1.463443,x,1559,54.27,0.76,57.14,2.024883555,120_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__
12_bin.11,12,Neritic,11/08/15,1.747739,NODE_26_length_108472_cov_29.631358,1676,80.17,0,0,1.874263771,119_2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillaceae;g__Puniceispirillum;s__
12_bin.14,12,Neritic,11/08/15,2.157554,x,2107,83.45,0.55,50,0.85571534,180_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__
12_bin.15,12,Neritic,11/08/15,2.387902,x,2238,90.85,1.33,60,0.601668392,171_0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;s__
12_bin.16,12,Neritic,11/08/15,1.211228,NODE_509_length_24120_cov_12.801938,1252,69.3,1.93,14.29,0.696848919,136_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__TMED25;g__MED-G09;s__MED-G09 sp002704345
12_bin.18,12,Neritic,11/08/15,2.326635,x,2314,93.65,0.04,0,9.564194939,131_2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina temperata
12_bin.21,12,Neritic,11/08/15,1.750584,NODE_655_length_20387_cov_26.854801,1562,77.38,1.86,18.75,2.137814752,91_0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__SCGC-AAA160-P02;s__
12_bin.23,12,Neritic,11/08/15,1.363139,NODE_70_length_70068_cov_25.276121,1391,72.82,1.99,0,1.209826558,107_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;s__Thioglobus sp002169705
12_bin.24,12,Neritic,11/08/15,1.899547,x,1782,89.73,0.56,66.67,0.958639902,93_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__
12_bin.33,12,Neritic,11/08/15,1.069683,x,1460,91.78,2.43,0,0.415930369,50_1,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus sp002690535
12_bin.34,12,Neritic,11/08/15,1.23252,x,1216,52.63,0,0,0.466712325,93_2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__
12_bin.37,12,Neritic,11/08/15,1.832906,x,1713,91.64,0.28,66.67,0.462536382,118_0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21;s__
12_bin.39,12,Neritic,11/08/15,1.586424,NODE_34_length_98971_cov_41.826208,1516,83.97,2.65,0,3.381322973,140_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-121220-bin8;s__MAG-121220-bin8 sp002700465
12_bin.40,12,Neritic,11/08/15,2.135011,NODE_67_length_70508_cov_32.536554,2046,93.46,0.93,100,1.985170718,110_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002685195
12_bin.45,12,Neritic,11/08/15,1.24664,NODE_83_length_65021_cov_77.155888,1276,69.42,0.37,0,4.916400818,142_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__
12_bin.5,12,Neritic,11/08/15,1.605776,x,1540,68.56,0,0,9.872790775,134_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amylibacter_A;s__Amylibacter_A sp900197625
12_bin.6,12,Neritic,11/08/15,1.431153,x,1286,75.54,0,0,2.149215031,81_1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae;g__UBA10364;s__
12_bin.7,12,Neritic,11/08/15,1.277333,NODE_7193_length_3311_cov_4.135127,1303,62.53,2.42,83.33,0.34602775,42_2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UA16;s__
12_bin.9,12,Neritic,11/08/15,1.924726,NODE_297_length_33357_cov_12.384886,1670,84,0,0,1.231650884,39_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1;s__
13_bin.12,13,STW,11/08/15,1.206865,x,1182,66.55,2.46,50,5.985710491,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
13_bin.15,13,STW,11/08/15,2.574774,x,2674,51.63,5.99,0,1.016787662,195_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002457215
13_bin.18,13,STW,11/08/15,2.241722,NODE_3063_length_7519_cov_3.914002,2387,67.67,7.66,0,1.022197967,199_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995
13_bin.19,13,STW,11/08/15,1.268259,NODE_11813_length_3092_cov_5.274295,1258,62.51,0.8,100,1.103492271,20_0,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-P;s__
13_bin.5,13,STW,11/08/15,1.365148,NODE_5898_length_4919_cov_26.650351,1163,75.6,0.16,0,6.653745831,18_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497895
13_bin.8,13,STW,11/08/15,1.889797,NODE_450_length_22855_cov_6.469795,1930,86.97,2.48,40,1.528661681,190_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1;s__MedAcidi-G1 sp000817085
14_bin.11,14,STW,11/08/15,1.678906,x,1858,51.49,0.81,0,2.729040533,199_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995
14_bin.2,14,STW,11/08/15,1.424869,NODE_2131_length_6672_cov_37.429113,1323,80.84,8,100,12.01465745,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
14_bin.8,14,STW,11/08/15,1.330767,NODE_3215_length_4736_cov_19.674179,1219,75.14,1.72,75,7.971948341,18_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp002497895
15_bin.1,15,Front,11/08/15,2.047711,x,2005,76.6,0.52,100,2.388116963,52_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__
15_bin.11,15,Front,11/08/15,1.547908,x,1785,85.01,0.54,100,3.056263995,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
15_bin.13,15,Front,11/08/15,1.128513,NODE_2884_length_6572_cov_16.684527,1125,73.01,0,0,5.902110341,108_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;s__
15_bin.20,15,Front,11/08/15,2.204219,x,2104,71.9,2.7,75,2.13548111,73_2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
15_bin.8,15,Front,11/08/15,2.859611,x,2865,71.35,2.9,0,1.943340311,195_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__
15_bin.9,15,Front,11/08/15,1.454317,NODE_420_length_23599_cov_30.909787,1291,85.33,0,0,11.55166085,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
16_bin.11,16,SAW,11/08/15,1.986739,x,1936,73.38,1.73,66.67,1.631044754,52_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__
16_bin.12,16,SAW,11/08/15,1.007487,NODE_37_length_81167_cov_21.392958,1005,63.05,0,0,5.642211226,108_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;s__
16_bin.14,16,SAW,11/08/15,1.40618,NODE_75_length_58325_cov_38.111884,1259,80.53,0,0,9.894710586,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
16_bin.18,16,SAW,11/08/15,1.604288,x,1809,90.9,0.54,100,4.511011238,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
16_bin.24,16,SAW,11/08/15,2.799653,x,2524,76.76,0.72,50,1.920333545,73_2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
16_bin.5,16,SAW,11/08/15,1.288256,NODE_3414_length_6401_cov_5.535262,1548,69.66,2.13,50,1.544611068,1_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__
17_bin.14,17,SAW,11/08/15,2.403017,x,2217,71.73,2.7,25,1.241235923,73_2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
17_bin.17,17,SAW,11/08/15,1.116478,NODE_95_length_58668_cov_32.422113,1001,63.73,0,0,7.526098189,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
17_bin.28,17,SAW,11/08/15,2.444523,x,2333,90.58,0.05,100,1.475459145,52_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__
17_bin.30,17,SAW,11/08/15,2.372316,x,2563,81.57,7.05,62.5,1.382671192,200_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682;s__
17_bin.31,17,SAW,11/08/15,0.766391,x,1048,55.25,0,0,1.120485793,49_1,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__
18_bin.1,18,SAW,11/08/15,2.870689,x,2535,83.77,2.84,40,2.080366971,73_2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
18_bin.18,18,SAW,11/08/15,3.086134,NODE_4852_length_5267_cov_4.349326,3468,71.82,4.5,20,1.594479181,165_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__
18_bin.2,18,SAW,11/08/15,1.466931,NODE_189_length_36573_cov_25.649496,1309,85.33,0,0,6.579438707,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
18_bin.22,18,SAW,11/08/15,2.232898,x,2404,70.73,2.73,22.22,1.701213773,200_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682;s__
18_bin.25,18,SAW,11/08/15,1.67159,x,1892,92.3,0.27,100,7.856911178,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
18_bin.27,18,SAW,11/08/15,1.789627,x,2071,89.76,0.82,66.67,2.737456493,1_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__
19_bin.12,19,SAW,11/08/15,1.635631,x,1822,91.85,0,0,4.573568489,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
19_bin.18,19,SAW,11/08/15,1.46163,NODE_474_length_23658_cov_40.896739,1310,83.67,0,0,11.52401455,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
19_bin.20,19,SAW,11/08/15,2.936562,x,2639,82.07,2.7,14.29,1.966136777,73_2,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
19_bin.25,19,SAW,11/08/15,3.256409,x,3651,68.18,2.61,0,1.613344163,165_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__UBA6544;s__
19_bin.29,19,SAW,11/08/15,1.936618,x,1878,66.55,1.89,66.67,1.773700955,52_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__
2_bin.1,2,SAW,3/06/14,1.515169,NODE_92_length_47020_cov_15.620519,1620,60.99,4.09,4.35,1.524770647,150_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__SAR86;f__SAR86;g__GCA-2707915;s__
2_bin.13,2,SAW,3/06/14,2.225484,x,2279,59.33,3.26,23.81,0.619690151,124_1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__HIMB11;s__
2_bin.18,2,SAW,3/06/14,0.942277,x,948,53.64,0,0,1.482126179,108_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiomicrospirales;f__Thioglobaceae;g__Thioglobus;s__
2_bin.23,2,SAW,3/06/14,1.620494,x,1827,88.86,0.54,100,2.819421407,2_2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp003208835
2_bin.33,2,SAW,3/06/14,1.459874,x,1290,82,0,0,4.092656071,29_2,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
2_bin.4,2,SAW,3/06/14,1.453063,x,1699,71.08,0.27,50,0.753832031,1_1,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__
2_bin.51,2,SAW,3/06/14,3.694058,x,3219,93.4,1.46,80,0.821678409,62_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10;s__
2_bin.53,2,SAW,3/06/14,2.439304,NODE_278_length_28789_cov_8.500313,1926,57.3,1.93,75,0.959194641,66_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70;s__
2_bin.54,2,SAW,3/06/14,1.206719,x,1169,67.41,0,0,0.799878963,29_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__
20_bin.14,20,Deep,11/08/15,2.260686,NODE_2672_length_7572_cov_9.723816,2199,83.39,2.2,50,0.949184424,206_1,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA887;s__UBA887 sp002313925
20_bin.19,20,Deep,11/08/15,2.229276,x,2308,87.26,3.09,25,1.589030704,11_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA9410;s__
20_bin.2,20,Deep,11/08/15,1.88536,x,1786,77.34,0,0,5.145471131,52_1,d__Bacteria;p__SAR324;c__SAR324;o__SAR324;f__NAC60-12;g__Arctic96AD-7;s__Arctic96AD-7 sp002082305
20_bin.20,20,Deep,11/08/15,2.760522,x,2420,77.8,2.7,75,2.859101021,73_1,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1096;g__UBA1096;s__
20_bin.21,20,Deep,11/08/15,1.443938,NODE_2_length_173729_cov_37.359201,1232,73.6,0,0,3.886870689,18_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1;s__MGIIb-O1 sp8684u
20_bin.23,20,Deep,11/08/15,2.991439,NODE_1433_length_11354_cov_35.069877,2887,97.87,1.22,0,3.904404236,199_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995
20_bin.24,20,Deep,11/08/15,2.502539,NODE_70_length_59064_cov_22.282266,2448,88.94,1.1,50,1.931246038,209_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__
20_bin.26,20,Deep,11/08/15,2.206527,NODE_20_length_96027_cov_48.048192,2155,91.52,2.14,0,5.035984251,10_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__S20-B6;s__S20-B6 sp002699725
20_bin.27,20,Deep,11/08/15,3.784949,NODE_253_length_30399_cov_7.072719,3540,82.64,3.63,0,0.659877052,203_1,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__;f__;g__;s__
20_bin.30,20,Deep,11/08/15,1.803016,x,1827,51.4,0,0,0.731044546,193_0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__GCA-002725925;s__
20_bin.31,20,Deep,11/08/15,2.632646,NODE_2230_length_8524_cov_10.459216,2696,97.76,2.23,25,1.207561437,188_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__TK06;g__UBA2110;s__
20_bin.32,20,Deep,11/08/15,1.710766,NODE_4793_length_5188_cov_59.638818,1693,66.81,9.83,18.75,6.186715939,12_1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA9410;s__
20_bin.38,20,Deep,11/08/15,1.10862,x,1113,56.58,1.22,50,1.682603813,54_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__;s__
20_bin.41,20,Deep,11/08/15,1.061548,NODE_1090_length_13347_cov_62.563602,987,53.96,0.93,0,5.408861277,21_1,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum;s__
20_bin.42,20,Deep,11/08/15,2.750539,x,2738,78.88,1.41,50,0.891773946,201_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA11791;s__
20_bin.44,20,Deep,11/08/15,1.726756,x,1832,53.8,5.98,75,0.76754818,210_1,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__UBA1151;g__GCA-2730555;s__
21_bin.14,21,STW,5/11/15,3.100302,x,3075,84.64,1.66,62.5,0.852800765,181_1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__
21_bin.17,21,STW,5/11/15,1.962048,x,2143,75.15,6.83,76,0.989955189,184_2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus;s__Luminiphilus sp002683395
