,Domain,Phylum,Class,Order,Family,Genus,Species,Species_ANI,mOTU,16S,Community (%),Bin_Size (Mbp),Completeness (%),Contamination (%),Strain_Heterogeneity (%),Watermass
83_bin.1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,1.555809555,2.214648,87.07,7.86,23.08,Deep
9_bin.21,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,S20-B6,S20-B6 sp002699725,10_1,NA,Y,4.372196007,2.247311,86.39,2.14,0,Deep
9_bin.23,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,Terracoccus,,155_0,NA,N,0.96305043,4.561022,89.34,0.54,0,Deep
52_bin.48,Bacteria,Actinobacteriota,Acidimicrobiia,TMED189,TMED189,TMED189,,104_0,NA,N,2.172946204,0.314497,53.45,6.43,96.15,STW
10_bin.18,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,,9_1,NA,Y,1.810063566,2.663607,96.58,2.14,33.33,STW
37_bin.70,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,,9_1,NA,N,4.118363663,2.788856,93.62,7.12,100,STW
38_bin.4,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,,9_1,NA,Y,1.566408827,2.512638,87.18,5.21,80,Front
65_bin.32,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,,9_1,NA,Y,0.498202064,1.584641,52.97,2.56,0,STW
37_bin.41,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA11606,UBA11606,,9_2,NA,N,2.749383147,2.428721,81.67,0.43,0,STW
20_bin.31,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,1.207561437,2.632646,97.76,2.23,25,Deep
23_bin.21,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,2.258319434,2.698821,98.72,2.14,0,Deep
3_bin.17,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,2.743246318,2.663917,94.87,2.14,0,Deep
34_bin.52,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,1.530289849,2.688019,98.72,2.14,0,Deep
47_bin.36,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,2.373198096,2.703617,98.72,2.56,25,Deep
51_bin.22,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,1.384393237,2.67047,98.72,2.14,0,Deep
64_bin.26,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,1.171438394,2.611371,90.12,2.56,25,Deep
80_bin.5,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,N,1.612550638,2.684223,96.15,2.37,40,Deep
83_bin.41,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,N,0.581608408,1.507754,51.8,6.92,5.88,Deep
9_bin.45,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA2110,,188_1,NA,Y,1.120917944,2.663624,95.3,3.94,28.57,Deep
1_bin.28,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,N,0.901608456,2.15532,64.8,1.28,0,STW
35_bin.29,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,N,0.430728389,2.579953,89.74,3.42,20,Neritic
36_bin.83,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,Y,0.404508235,2.636869,98.29,2.14,0,Neritic
37_bin.14,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,Y,0.541921876,2.651767,98.29,2.14,0,STW
38_bin.60,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,Y,0.758132299,2.543007,96.15,2.99,25,Front
39_bin.27,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,Y,0.433894963,1.746506,58.07,5.32,22.22,SAW
48_bin.20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,N,0.336205373,1.536277,55.02,1.4,0,STW
77_bin.24,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_1,NA,Y,1.230375068,2.676608,94.87,2.99,25,SAW
23_bin.41,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_2,NA,N,0.578325676,2.524719,81.8,7.26,0,Deep
46_bin.6,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,TK06,UBA9040,,186_2,NA,N,0.330190957,2.293069,69.66,5.56,57.14,SAW
20_bin.19,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_1,NA,N,1.589030704,2.229276,87.26,3.09,25,Deep
9_bin.44,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_1,NA,N,6.114173606,2.161856,63.79,3.45,0,Deep
23_bin.30,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_2,NA,Y,1.360879898,2.397291,92.01,6.74,44.44,Deep
3_bin.26,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_2,NA,Y,2.208861467,2.012923,79.65,8.97,14.29,Deep
64_bin.8,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_2,NA,N,1.196820767,1.757326,58.17,4.27,12.5,Deep
80_bin.10,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,11_2,NA,N,1.227834492,2.193668,78.67,5.13,50,Deep
20_bin.32,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,6.186715939,1.710766,66.81,9.83,18.75,Deep
3_bin.3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,4.290204148,1.789801,80.34,1.62,25,Deep
47_bin.41,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,3.971700847,2.025147,90.09,2.99,25,Deep
51_bin.42,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,3.799570929,2.062985,95.73,2.14,0,Deep
61_bin.9,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,N,4.86005044,1.955328,85.59,2.99,25,Deep
69_bin.27,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,5.906042404,2.001592,92.07,2.21,25,Deep
80_bin.1,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,4.909118528,2.061238,94.1,2.99,25,Deep
83_bin.3,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,12_1,NA,Y,3.873113645,2.075171,93.59,1.28,0,Deep
61_bin.58,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,13_1,NA,N,1.687836646,2.06518,85,3.85,0,Deep
69_bin.25,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,13_1,NA,Y,2.963095453,1.855218,75.84,2.28,0,Deep
72_bin.11,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,13_1,NA,Y,11.84005566,1.714049,74.47,3.42,50,Deep
80_bin.20,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,13_1,NA,N,1.76930092,1.689244,73.82,1.28,0,Deep
23_bin.60,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,14_1,NA,Y,1.129484649,2.498217,90.6,2.99,0,Deep
34_bin.44,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,MedAcidi-G1,UBA9410,,14_1,NA,Y,0.590629247,1.810609,71.94,1.79,25,Deep
34_bin.45,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,,,191_1,NA,Y,1.195805987,2.231742,94.79,3.85,0,Deep
62_bin.9,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,,,191_1,NA,N,0.994178139,1.334504,51.16,4.27,0,STW
79_bin.56,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,UBA8592,,,191_1,NA,Y,0.790087081,1.899167,75.93,6.41,11.11,SAW
12_bin.37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,BACL21,,118_0,NA,N,0.462536382,1.832906,91.64,0.28,66.67,Neritic
46_bin.26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,,102_0,NA,N,0.518404159,1.576354,68.22,7.9,8.51,SAW
54_bin.31,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-002733185,,98_0,NA,N,5.324573819,1.97177,87.51,6.27,14.29,SAW
51_bin.26,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,GCA-2700405,,141_0,NA,Y,2.099084534,1.245977,69.91,0.5,50,Deep
25_bin.4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,,89_1,NA,N,0.899414258,1.266108,64.06,1.84,42.86,STW
28_bin.28,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,,89_1,NA,N,1.173284105,1.419686,72.94,1.05,20,SAW
6_bin.14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,,89_1,NA,Y,0.963124805,1.847709,90.86,1.39,42.86,SAW
68_bin.29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,HC6-5,,89_1,NA,Y,1.945981243,1.653035,83.54,0,0,SAW
33_bin.23,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,96_1,NA,N,3.755769063,1.791962,84.86,1.21,12.5,SAW
40_bin.58,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,96_1,NA,N,0.953430997,1.411868,75.72,2.41,28,SAW
6_bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,96_1,NA,N,0.904592894,1.661037,81.05,2.41,33.33,SAW
26_bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,97_1,NA,N,1.165152816,0.989981,52.74,1.82,11.11,Front
33_bin.18,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,97_1,NA,N,1.611277984,1.998148,100,8.78,17.65,SAW
41_bin.100,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hel1-33-131,,97_1,NA,N,0.102190837,1.657417,64.66,7.76,50,SAW
12_bin.39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465,140_1,NA,Y,3.381322973,1.586424,83.97,2.65,0,Neritic
52_bin.35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MAG-121220-bin8,MAG-121220-bin8 sp002700465,140_1,NA,Y,2.052573513,1.281703,66.89,6.53,0,STW
21_bin.20,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075,103_1,NA,N,3.877263268,1.137352,78.99,6.99,10,STW
37_bin.11,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,MED-G11 sp002457075,103_1,NA,Y,2.065203746,1.08088,74.16,5.15,10,STW
23_bin.45,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,,103_2,NA,Y,2.211256274,1.245543,82.33,0.07,0,Deep
41_bin.86,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,,103_2,NA,Y,0.241104092,1.039353,70.29,6.99,7.69,SAW
46_bin.36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,,103_2,NA,Y,2.422813339,1.317452,84.04,4.41,16.67,SAW
54_bin.37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MED-G11,,103_2,NA,Y,5.774315945,1.266052,81.99,1.47,50,SAW
25_bin.30,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,,88_1,NA,Y,3.791626381,2.338309,90.84,7.8,0,STW
26_bin.31,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,,88_1,NA,N,3.542913052,2.239287,93.97,5.02,0,Front
27_bin.2,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UBA10066,MED-G20,,88_1,NA,Y,3.2940492,1.403901,73.39,2.15,25,SAW
10_bin.12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,1.565916875,1.317361,68.06,9.44,12.5,STW
35_bin.31,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,1.633453847,1.496008,90.02,0,0,Neritic
36_bin.39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,1.329517231,1.719991,78.16,6.95,7.27,Neritic
37_bin.19,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,1.546611767,1.640661,92.2,0,0,STW
38_bin.34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,2.627532066,1.503634,85.66,1.1,100,Front
39_bin.10,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,2.001999207,1.491264,83.98,4.32,40,SAW
41_bin.6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,1.081759014,1.362707,77.83,2.94,75,SAW
54_bin.36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,2.236580665,1.377115,61.79,9.52,4.35,SAW
68_bin.18,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,2.108801919,1.125843,65.96,7.62,50,SAW
7_bin.37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,Y,2.376510864,1.691064,92.28,4.81,25,STW
8_bin.12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_1,NA,N,2.382799137,1.653685,89.48,3.68,0,SAW
68_bin.15,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,MS024-2A,,101_2,NA,N,1.431557164,0.921101,59.8,2.27,40,SAW
12_bin.24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,93_1,NA,N,0.958639902,1.899547,89.73,0.56,66.67,Neritic
12_bin.34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,,93_2,NA,N,0.466712325,1.23252,52.63,0,0,Neritic
21_bin.33,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,,90_1,NA,N,1.78811447,2.228281,92.15,1.34,75,STW
27_bin.24,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,,90_2,NA,N,0.685418569,1.38275,57.89,7.02,50,SAW
12_bin.21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,SCGC-AAA160-P02,,91_0,NA,Y,2.137814752,1.750584,77.38,1.86,18.75,Neritic
7_bin.35,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,,146_1,NA,N,1.505926153,1.59575,88.17,1.88,40,STW
71_bin.12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,TMED14,,146_1,NA,N,2.433999627,0.90734,57.33,0.54,100,SAW
52_bin.21,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_1,NA,N,0.629488186,2.374419,92.13,5.54,68.75,STW
53_bin.29,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_1,NA,N,1.399475199,1.725597,70.92,1.49,50,SAW
12_bin.7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_2,NA,Y,0.34602775,1.277333,62.53,2.42,83.33,Neritic
21_bin.22,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_2,NA,Y,1.220914946,2.013018,89.77,0.54,0,STW
24_bin.19,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_2,NA,N,0.732207,1.353273,56.11,0,0,STW
25_bin.27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_2,NA,N,0.66556963,1.130171,54.98,0.11,100,STW
56_bin.34,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,42_2,NA,N,1.351019228,1.679648,71.45,0.54,100,STW
29_bin.27,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085,43_1,NA,Y,1.615270764,2.314859,97.04,0,0,SAW
30_bin.4,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085,43_1,NA,Y,1.492918331,2.348953,97.56,0,0,SAW
33_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,UA16 sp002336085,43_1,NA,N,0.613305427,1.294043,51.72,0,0,SAW
29_bin.39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,44_1,NA,N,0.463411148,1.168686,54.61,1.08,100,SAW
71_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,44_1,NA,N,1.705135609,1.758503,75.6,0.66,33.33,SAW
8_bin.1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UA16,,44_1,NA,Y,0.374570681,1.073,53.49,0,0,SAW
12_bin.6,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_1,NA,N,2.149215031,1.431153,75.54,0,0,Neritic
25_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_1,NA,N,0.682441468,1.249633,65.43,0.66,12.5,STW
54_bin.9,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615,81_2,NA,Y,0.555663837,0.958107,61.3,1.72,75,SAW
71_bin.8,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,UBA10364 sp002387615,81_2,NA,Y,12.91708691,1.809441,94.62,0.27,100,SAW
24_bin.16,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,Y,0.93499473,1.447651,78.26,1.24,18.18,STW
35_bin.61,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,N,0.527568537,1.77464,93.45,1.21,33.33,Neritic
36_bin.38,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,Y,0.788066867,1.938927,99.46,0,0,Neritic
37_bin.51,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,Y,0.76150486,1.848147,94.62,0.09,0,STW
67_bin.7,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,N,2.650441522,1.426304,74,0.54,100,STW
70_bin.14,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,UBA10364,,81_3,NA,Y,2.100101353,1.388197,79.36,0.47,33.33,STW
29_bin.13,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,UA16,UBA11663,,45_1,NA,Y,0.506046855,1.661526,77.7,0.45,50,SAW
